file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/CrashControllerIntegrationTests.java,org.springframework.samples.petclinic.system.CrashControllerIntegrationTests,testTriggerExceptionHtml/0,false,76,4,0,0,0,1,10,10,0,2,0,10,0,0,0,0,0,0,23,0,2,1,0,0,0,0,20,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/CrashControllerIntegrationTests.java,org.springframework.samples.petclinic.system.CrashControllerIntegrationTests,testTriggerExceptionJson/0,false,60,3,0,0,0,1,10,12,0,1,0,10,0,0,0,0,0,0,9,0,1,1,0,1,0,0,18,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/vet/VetRepository.java,org.springframework.samples.petclinic.vet.VetRepository,findAll/0,false,40,3,6,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,true
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/vet/VetRepository.java,org.springframework.samples.petclinic.vet.VetRepository,findAll/1[org.springframework.samples.petclinic.vet.Pageable],false,48,5,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,true
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/system/WelcomeController.java,org.springframework.samples.petclinic.system.WelcomeController,welcome/0,false,26,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetTypeFormatterTests.java,org.springframework.samples.petclinic.owner.PetTypeFormatterTests,makePetTypes/0,false,82,1,3,2,1,1,1,16,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,19,2,0,true
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetTypeFormatterTests.java,org.springframework.samples.petclinic.owner.PetTypeFormatterTests,testPrint/0,false,56,4,3,0,3,1,4,6,0,2,0,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,8,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetTypeFormatterTests.java,org.springframework.samples.petclinic.owner.PetTypeFormatterTests,setup/0,false,51,2,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetTypeFormatterTests.java,org.springframework.samples.petclinic.owner.PetTypeFormatterTests,shouldParse/0,false,64,6,4,0,4,1,8,5,0,1,0,8,1,1,0,0,0,0,2,0,1,0,0,0,0,0,11,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetTypeFormatterTests.java,org.springframework.samples.petclinic.owner.PetTypeFormatterTests,shouldThrowParseException/0,false,71,3,2,0,2,1,6,7,0,0,0,6,1,1,0,0,0,0,1,0,0,0,1,0,0,1,8,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkI18nPropertyFilesAreInSync/0,false,86,1,0,0,0,8,23,36,1,15,0,23,0,0,2,1,2,0,8,0,12,3,2,0,0,3,53,1,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkNonInternationalizedStrings/0,false,40,1,0,0,0,13,20,26,0,13,0,20,0,0,2,0,1,0,16,2,10,2,4,0,0,3,33,1,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/vet/VetTests.java,org.springframework.samples.petclinic.vet.VetTests,testSerialization/0,false,29,4,7,0,7,1,10,10,0,2,0,10,0,0,0,0,0,0,3,1,2,0,0,0,0,0,7,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldInsertPetIntoDatabaseAndGenerateId/0,false,157,10,11,0,11,1,18,20,0,5,0,18,0,0,0,0,0,0,2,5,8,2,0,0,0,0,16,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldAddNewVisitForPet/0,false,217,7,7,0,7,2,14,12,0,6,0,14,0,0,0,1,0,0,1,3,5,1,0,0,0,1,16,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldInsertOwner/0,false,109,7,8,0,8,1,12,14,0,3,0,12,0,0,0,0,0,0,7,1,4,1,0,0,0,0,9,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldFindVisitsByPetId/0,false,236,5,3,0,3,1,10,8,0,4,0,10,0,0,0,0,0,0,0,4,4,0,0,0,0,0,13,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldFindSingleOwnerWithPet/0,false,97,6,5,0,5,1,13,9,0,2,0,13,0,0,0,0,0,0,2,4,2,0,0,0,0,0,10,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldUpdatePetName/0,false,185,6,4,0,4,1,9,15,0,5,0,9,0,0,0,0,0,0,1,4,8,1,0,0,0,0,12,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldFindOwnersByLastName/0,false,88,3,1,0,1,1,4,6,0,1,0,4,0,0,0,0,0,0,2,1,2,0,0,0,0,0,9,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldFindVets/0,false,205,6,6,0,6,1,9,8,0,2,0,9,0,0,0,0,0,0,3,4,2,0,0,0,0,0,8,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldUpdateOwner/0,false,128,5,3,0,3,1,8,13,0,4,0,8,0,0,0,0,0,0,1,2,6,1,0,0,0,0,11,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldFindAllPetTypes/0,false,146,5,3,0,3,1,5,7,0,3,0,5,0,0,0,0,0,0,2,2,3,0,0,0,0,0,11,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/vet/Vet.java,org.springframework.samples.petclinic.vet.Vet,getNrOfSpecialties/0,false,66,1,2,1,1,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/vet/Vet.java,org.springframework.samples.petclinic.vet.Vet,getSpecialties/0,false,60,3,2,1,1,1,6,3,1,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/vet/Vet.java,org.springframework.samples.petclinic.vet.Vet,getSpecialtiesInternal/0,false,52,1,3,3,0,2,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,4,4,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/vet/Vet.java,org.springframework.samples.petclinic.vet.Vet,addSpecialty/1[org.springframework.samples.petclinic.vet.Specialty],false,70,2,2,1,1,1,2,3,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests$ProcessCreationFormHasErrors,testProcessCreationFormWithMissingPetType/0,false,136,1,0,0,0,1,13,3,0,0,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,17,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests$ProcessCreationFormHasErrors,testProcessCreationFormWithBlankName/0,false,110,1,0,0,0,1,13,3,0,0,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,16,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests$ProcessCreationFormHasErrors,testProcessCreationFormWithDuplicateName/0,false,123,1,0,0,0,1,13,3,0,0,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,16,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests$ProcessCreationFormHasErrors,testInitUpdateForm/0,false,165,1,0,0,0,1,9,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests$ProcessCreationFormHasErrors,testProcessCreationFormWithInvalidBirthDate/0,false,149,1,0,0,0,1,16,5,0,2,0,16,0,0,0,0,0,0,12,1,2,0,0,0,0,0,20,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/model/ValidatorTests.java,org.springframework.samples.petclinic.model.ValidatorTests,shouldNotValidateWhenFirstNameEmpty/0,false,44,5,4,0,4,1,13,12,0,4,0,13,1,1,0,0,0,0,4,1,4,0,0,0,0,0,19,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/model/ValidatorTests.java,org.springframework.samples.petclinic.model.ValidatorTests,createValidator/0,false,37,2,1,1,0,1,1,5,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/vet/VetControllerTests.java,org.springframework.samples.petclinic.vet.VetControllerTests,testShowVetListHtml/0,false,83,1,0,0,0,1,9,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/vet/VetControllerTests.java,org.springframework.samples.petclinic.vet.VetControllerTests,testShowResourcesVetList/0,false,93,2,0,0,0,1,10,4,0,1,0,10,0,0,0,0,0,0,2,1,1,0,0,0,0,0,14,0,0,false
