id;sku;nome;modelo;cor;capacidade;preco;parcelas;valor_parcela;cores_disponiveis;outras_cores;cores_esgotadas;selo;url
14973637427560;08944;Mug Térmica Café To Go Twilight Stanley 1913;Mug Térmica Café To Go;Twilight;236ml;219.0;12x;18.25;7;Cream Gloss, Black 2.0, Toast, Peach Rose, Coffee, Blue Dream Stone;0;Novidade;https://www.stanley1913.com.br/products/mug-termica-cafe-to-go-twilight-236ml?variant=53974850503016
14973629694312;09097;Mug Térmica Café To Go Blue Dream Stone;Mug Térmica Café To Go;Blue Dream Stone;236ml;219.0;12x;18.25;7;Cream Gloss, Black 2.0, Toast, Peach Rose, Coffee, Twilight;0;Novidade;https://www.stanley1913.com.br/products/mug-termica-cafe-to-go-blue-dream-stone-236ml?variant=53974798205288
14973629661544;09236;Quencher Protour Blue Dream;Quencher Protour;Blue Dream;1.18L;359.0;12x;29.91;19;Agave, Ash Fade, Black Fade, Dried Pine, Frost Fade, Messi Black, Pink Messi, Prickly Pear, Rose Quartz Fade, Toast, Twilight, Wild Blooms, Costal Teal, Frost, Orange Sherbet, Dark Navy, Cream, Sorbet Wildflower;0;Novidade;https://www.stanley1913.com.br/products/quencher-protour-blue-dream-1-18l?variant=53974798172520
14973629530472;09235;Copo Quencher Blue Dream Wildflower;Copo Quencher;Blue Dream Wildflower;887ML;319.0;12x;26.58;31;Rose Quartz, Cream, Frost, Black 2.0, Antique Pink, Camel, Hydrangea, Cherry Blossom, Cream Moon, Dew Drop, Pistachio, Almond Rose, Bloom, Cornflower Cabana Gloss, Cornflower Gloss, Cream Royal, Fuchsia, Peach Whip Cabana Gloss, Peach Whip Gloss, Cool Serene, Citron, Ash, Black 2.0, Peach Rose, Purple Dust, Sahara Plume, Sea Glass Plume, Tropical Teal, Chili, Bright Lime;0;Novidade;https://www.stanley1913.com.br/products/copo-quencher-blue-dream-wildflower-887ml?variant=53974797582696
14973629497704;09234;Quencher Protour Sorbet Wildflower;Quencher Protour;Sorbet Wildflower;1.18L;359.0;12x;29.91;18;Agave, Ash Fade, Black Fade, Dried Pine, Frost Fade, Messi Black, Pink Messi, Prickly Pear, Rose Quartz Fade, Toast, Twilight, Wild Blooms, Costal Teal, Frost, Orange Sherbet, Dark Navy, Cream;0;Novidade;https://www.stanley1913.com.br/products/quencher-protour-sorbet-wildflower-1-18l?variant=53974797549928
14973626876264;09178;Garrafa Vitalize Tempo Blue Dream;Garrafa Vitalize Tempo;Blue Dream;710ml;349.0;12x;29.08;5;Black, Chalk, Purple Umbra, Rose Quartz;0;Novidade;https://www.stanley1913.com.br/products/garrafa-vitalize-tempo-blue-dream-710ml?variant=53974793814376
14973626745192;09231;Garrafa Térmica Flowstate™ Spring Blue Dream Stone Stanley 1913;Garrafa Térmica Flowstate™ Spring;Blue Dream Stone;591ml;329.0;12x;27.41;6;Rose Quartz, Cream, Black 2.0, Ash, Peach Rose;0;Novidade;https://www.stanley1913.com.br/products/garrafa-termica-spring-blue-dream-stone-591ml?variant=53974792536424
14973626712424;09075;Garrafa Térmica Flowstate™ Spring  Peach Rose Stanley 1913;Garrafa Térmica Flowstate™ Spring;Peach Rose;591ml;329.0;12x;27.41;6;Rose Quartz, Cream, Blue Dream Stone, Black 2.0, Ash;0;Novidade;https://www.stanley1913.com.br/products/garrafa-termica-spring-peach-rose-591ml?variant=53974792503656
14973626679656;09078;Garrafa Térmica Flowstate™ Spring Ash Stanley 1913;Garrafa Térmica Flowstate™ Spring;Ash;591ml;329.0;12x;27.41;6;Rose Quartz, Cream, Blue Dream Stone, Black 2.0, Peach Rose;0;Novidade;https://www.stanley1913.com.br/products/garrafa-termica-spring-ash-591ml?variant=53974792470888
14973626646888;09077;Garrafa Térmica Flowstate™ Spring Rose Quartz Stanley 1913;Garrafa Térmica Flowstate™ Spring;Rose Quartz;591ml;329.0;12x;27.41;6;Cream, Blue Dream Stone, Black 2.0, Ash, Peach Rose;0;Novidade;https://www.stanley1913.com.br/products/garrafa-termica-spring-rose-quartz-591ml?variant=53974792438120
