produto_id;produto;capacidade;cor;titulo_da_cor;esgotado;e_a_cor_do_card
14973629530472;Copo Quencher Blue Dream Wildflower;887ML;Cornflower Cabana Gloss;Copo Quencher Cornflower Cabana Gloss Stanley 1913 | 887ml;False;False
14973629530472;Copo Quencher Blue Dream Wildflower;887ML;Cornflower Gloss;Copo Quencher Cornflower Gloss Stanley 1913 | 887ml;False;False
14973629530472;Copo Quencher Blue Dream Wildflower;887ML;Cream Royal;Copo Quencher Cream Royal Stanley 1913 | 887ml;False;False
14973629530472;Copo Quencher Blue Dream Wildflower;887ML;Fuchsia;Copo Quencher Fuchsia Stanley 1913 | 887ml;False;False
14973629530472;Copo Quencher Blue Dream Wildflower;887ML;Peach Whip Cabana Gloss;Copo Quencher Peach Whip Cabana Gloss Stanley 1913 | 887ml;False;False
14973629530472;Copo Quencher Blue Dream Wildflower;887ML;Peach Whip Gloss;Copo Quencher Peach Whip Gloss Stanley 1913 | 887ml;False;False
14973629530472;Copo Quencher Blue Dream Wildflower;887ML;Cool Serene;Copo Quencher Cool Serene Stanley 1913 | 887ML;False;False
14973629530472;Copo Quencher Blue Dream Wildflower;887ML;Citron;Copo Quencher Citron Stanley 1913 | 887ML;False;False
14973629530472;Copo Quencher Blue Dream Wildflower;887ML;Ash;Copo Quencher Ash Stanley 1913 | 887ml;False;False
14973629530472;Copo Quencher Blue Dream Wildflower;887ML;Black 2.0;Copo Quencher Black 2.0 Stanley 1913 | 887ml;False;False
14973629530472;Copo Quencher Blue Dream Wildflower;887ML;Peach Rose;Copo Quencher Peach Rose Stanley 1913 | 887ml;False;False
14973629530472;Copo Quencher Blue Dream Wildflower;887ML;Purple Dust;Copo Quencher Purple Dust Stanley 1913 | 887ml;False;False
14973629530472;Copo Quencher Blue Dream Wildflower;887ML;Sahara Plume;Copo Quencher Sahara Plume Stanley 1913 | 887ml;False;False
14973629530472;Copo Quencher Blue Dream Wildflower;887ML;Sea Glass Plume;Copo Quencher Sea Glass Plume Stanley 1913 | 887ml;False;False
14973629530472;Copo Quencher Blue Dream Wildflower;887ML;Tropical Teal;Copo Quencher Heat Wave Tropical Teal Stanley 1913 | 887ML;False;False
14973629530472;Copo Quencher Blue Dream Wildflower;887ML;Chili;Copo Quencher Heat Wave Heat Wave Chili Stanley 1913 | 887ML;False;False
14973629530472;Copo Quencher Blue Dream Wildflower;887ML;Bright Lime;Copo Quencher Heat Wave Bright Lime Stanley 1913 | 887ML;False;False
14973629530472;Copo Quencher Blue Dream Wildflower;887ML;Blue Dream Wildflower;Copo Quencher Blue Dream Wildflower | 887ML;False;True
14973629497704;Quencher Protour Sorbet Wildflower;1.18L;Agave;Quencher Protour Agave Stanley 1913 | 1.18l;False;False
14973629497704;Quencher Protour Sorbet Wildflower;1.18L;Ash Fade;Quencher Protour Ash Fade Stanley 1913 | 1.18l;False;False
14973629497704;Quencher Protour Sorbet Wildflower;1.18L;Black Fade;Quencher Protour Black Fade Stanley 1913 | 1.18l;False;False
14973629497704;Quencher Protour Sorbet Wildflower;1.18L;Dried Pine;Quencher Protour Dried Pine Stanley 1913 | 1.18L;False;False
14973629497704;Quencher Protour Sorbet Wildflower;1.18L;Frost Fade;Quencher Protour Frost Fade Stanley 1913 | 1.18l;False;False
14973629497704;Quencher Protour Sorbet Wildflower;1.18L;Messi Black;Quencher Protour Messi Black Stanley 1913 | 1.18L;False;False
14973629497704;Quencher Protour Sorbet Wildflower;1.18L;Pink Messi;Quencher Protour Pink Messi Stanley 1913 | 1.18L;False;False
14973629497704;Quencher Protour Sorbet Wildflower;1.18L;Prickly Pear;Quencher Protour Prickly Pear Stanley 1913 | 1.18l;False;False
14973629497704;Quencher Protour Sorbet Wildflower;1.18L;Rose Quartz Fade;Quencher Protour Rose Quartz Fade Stanley 1913 | 1.18l;False;False
14973629497704;Quencher Protour Sorbet Wildflower;1.18L;Toast;Quencher Protour Toast Stanley 1913 | 1.18L;False;False
14973629497704;Quencher Protour Sorbet Wildflower;1.18L;Twilight;Quencher Protour Twilight Stanley 1913 | 1.18L;False;False
14973629497704;Quencher Protour Sorbet Wildflower;1.18L;Wild Blooms;Quencher Protour Wild Blooms Stanley 1913 | 1.18L;False;False
14973629497704;Quencher Protour Sorbet Wildflower;1.18L;Costal Teal;Quencher Protour Costal Teal Stanley 1913 | 1.18L;False;False
14973629497704;Quencher Protour Sorbet Wildflower;1.18L;Frost;Quencher Protour Frost Lovely Stanley 1913 | 1.18L;False;False
14973629497704;Quencher Protour Sorbet Wildflower;1.18L;Orange Sherbet;Quencher Protour Orange Sherbet Stanley 1913 | 1.18L;False;False
14973629497704;Quencher Protour Sorbet Wildflower;1.18L;Dark Navy;Quencher Protour Dark Navy Stanley 1913 | 1.18L;False;False
14973629497704;Quencher Protour Sorbet Wildflower;1.18L;Cream;Quencher Protour Cream Stanley 1913 | 1.18l;False;False
14973629497704;Quencher Protour Sorbet Wildflower;1.18L;Sorbet Wildflower;Quencher Protour Sorbet Wildflower  | 1.18L;False;True
14973626876264;Garrafa Vitalize Tempo Blue Dream;710ml;Black;Garrafa Vitalize Tempo Black Stanley 1913 | 710ml;False;False
14973626876264;Garrafa Vitalize Tempo Blue Dream;710ml;Chalk;Garrafa Vitalize Tempo Chalk Stanley 1913 | 710ml;False;False
14973626876264;Garrafa Vitalize Tempo Blue Dream;710ml;Purple Umbra;Garrafa Vitalize Tempo Purple Umbra Stanley 1913 | 710ml;False;False
14973626876264;Garrafa Vitalize Tempo Blue Dream;710ml;Rose Quartz;Garrafa Vitalize Tempo Rose Quartz Stanley 1913 | 710ml;False;False
14973626876264;Garrafa Vitalize Tempo Blue Dream;710ml;Blue Dream;Garrafa Vitalize Tempo Blue Dream | 710ml;False;True
14973626745192;Garrafa Térmica Flowstate™ Spring Blue Dream Stone Stanley 1913;591ml;Rose Quartz;Garrafa Térmica Flowstate™ Spring Rose Quartz Stanley 1913 | 591ml;False;False
14973626745192;Garrafa Térmica Flowstate™ Spring Blue Dream Stone Stanley 1913;591ml;Cream;Garrafa Térmica Flowstate™ Spring Cream Stanley 1913 | 591ml;False;False
14973626745192;Garrafa Térmica Flowstate™ Spring Blue Dream Stone Stanley 1913;591ml;Blue Dream Stone;Garrafa Térmica Flowstate™ Spring Blue Dream Stone Stanley 1913 | 591ml;False;True
14973626745192;Garrafa Térmica Flowstate™ Spring Blue Dream Stone Stanley 1913;591ml;Black 2.0;Garrafa Térmica Flowstate™ Spring Black 2.0 Stanley 1913 | 591ml;False;False
14973626745192;Garrafa Térmica Flowstate™ Spring Blue Dream Stone Stanley 1913;591ml;Ash;Garrafa Térmica Flowstate™ Spring Ash Stanley 1913 | 591ml;False;False
14973626745192;Garrafa Térmica Flowstate™ Spring Blue Dream Stone Stanley 1913;591ml;Peach Rose;Garrafa Térmica Flowstate™ Spring  Peach Rose Stanley 1913 | 591ml;False;False
14973626712424;Garrafa Térmica Flowstate™ Spring  Peach Rose Stanley 1913;591ml;Rose Quartz;Garrafa Térmica Flowstate™ Spring Rose Quartz Stanley 1913 | 591ml;False;False
14973626712424;Garrafa Térmica Flowstate™ Spring  Peach Rose Stanley 1913;591ml;Cream;Garrafa Térmica Flowstate™ Spring Cream Stanley 1913 | 591ml;False;False
14973626712424;Garrafa Térmica Flowstate™ Spring  Peach Rose Stanley 1913;591ml;Blue Dream Stone;Garrafa Térmica Flowstate™ Spring Blue Dream Stone Stanley 1913 | 591ml;False;False
14973626712424;Garrafa Térmica Flowstate™ Spring  Peach Rose Stanley 1913;591ml;Black 2.0;Garrafa Térmica Flowstate™ Spring Black 2.0 Stanley 1913 | 591ml;False;False
14973626712424;Garrafa Térmica Flowstate™ Spring  Peach Rose Stanley 1913;591ml;Ash;Garrafa Térmica Flowstate™ Spring Ash Stanley 1913 | 591ml;False;False
14973626712424;Garrafa Térmica Flowstate™ Spring  Peach Rose Stanley 1913;591ml;Peach Rose;Garrafa Térmica Flowstate™ Spring  Peach Rose Stanley 1913 | 591ml;False;True
14973626679656;Garrafa Térmica Flowstate™ Spring Ash Stanley 1913;591ml;Rose Quartz;Garrafa Térmica Flowstate™ Spring Rose Quartz Stanley 1913 | 591ml;False;False
14973626679656;Garrafa Térmica Flowstate™ Spring Ash Stanley 1913;591ml;Cream;Garrafa Térmica Flowstate™ Spring Cream Stanley 1913 | 591ml;False;False
14973626679656;Garrafa Térmica Flowstate™ Spring Ash Stanley 1913;591ml;Blue Dream Stone;Garrafa Térmica Flowstate™ Spring Blue Dream Stone Stanley 1913 | 591ml;False;False
14973626679656;Garrafa Térmica Flowstate™ Spring Ash Stanley 1913;591ml;Black 2.0;Garrafa Térmica Flowstate™ Spring Black 2.0 Stanley 1913 | 591ml;False;False
14973626679656;Garrafa Térmica Flowstate™ Spring Ash Stanley 1913;591ml;Ash;Garrafa Térmica Flowstate™ Spring Ash Stanley 1913 | 591ml;False;True
14973626679656;Garrafa Térmica Flowstate™ Spring Ash Stanley 1913;591ml;Peach Rose;Garrafa Térmica Flowstate™ Spring  Peach Rose Stanley 1913 | 591ml;False;False
14973626646888;Garrafa Térmica Flowstate™ Spring Rose Quartz Stanley 1913;591ml;Rose Quartz;Garrafa Térmica Flowstate™ Spring Rose Quartz Stanley 1913 | 591ml;False;True
14973626646888;Garrafa Térmica Flowstate™ Spring Rose Quartz Stanley 1913;591ml;Cream;Garrafa Térmica Flowstate™ Spring Cream Stanley 1913 | 591ml;False;False
14973626646888;Garrafa Térmica Flowstate™ Spring Rose Quartz Stanley 1913;591ml;Blue Dream Stone;Garrafa Térmica Flowstate™ Spring Blue Dream Stone Stanley 1913 | 591ml;False;False
14973626646888;Garrafa Térmica Flowstate™ Spring Rose Quartz Stanley 1913;591ml;Black 2.0;Garrafa Térmica Flowstate™ Spring Black 2.0 Stanley 1913 | 591ml;False;False
14973626646888;Garrafa Térmica Flowstate™ Spring Rose Quartz Stanley 1913;591ml;Ash;Garrafa Térmica Flowstate™ Spring Ash Stanley 1913 | 591ml;False;False
14973626646888;Garrafa Térmica Flowstate™ Spring Rose Quartz Stanley 1913;591ml;Peach Rose;Garrafa Térmica Flowstate™ Spring  Peach Rose Stanley 1913 | 591ml;False;False
14973626614120;Garrafa Térmica Flowstate™ Spring Cream Stanley 1913;591ml;Rose Quartz;Garrafa Térmica Flowstate™ Spring Rose Quartz Stanley 1913 | 591ml;False;False
14973626614120;Garrafa Térmica Flowstate™ Spring Cream Stanley 1913;591ml;Cream;Garrafa Térmica Flowstate™ Spring Cream Stanley 1913 | 591ml;False;True
14973626614120;Garrafa Térmica Flowstate™ Spring Cream Stanley 1913;591ml;Blue Dream Stone;Garrafa Térmica Flowstate™ Spring Blue Dream Stone Stanley 1913 | 591ml;False;False
14973626614120;Garrafa Térmica Flowstate™ Spring Cream Stanley 1913;591ml;Black 2.0;Garrafa Térmica Flowstate™ Spring Black 2.0 Stanley 1913 | 591ml;False;False
14973626614120;Garrafa Térmica Flowstate™ Spring Cream Stanley 1913;591ml;Ash;Garrafa Térmica Flowstate™ Spring Ash Stanley 1913 | 591ml;False;False
14973626614120;Garrafa Térmica Flowstate™ Spring Cream Stanley 1913;591ml;Peach Rose;Garrafa Térmica Flowstate™ Spring  Peach Rose Stanley 1913 | 591ml;False;False
